ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_earthquake_impact_wlb,earthquake_imp_1,earthquake_imp_2,earthquake_imp_3,earthquake_imp_4,earthquake_imp_5,ext_earthquake_cope,ext_earthquake_likely_repeat,ext_earthquake_affect,ext_earthquake_lkly_normal_business,ext_earthquake_lkly_stay_home,ext_earthquake_lkly_seek_shelter,ext_earthquake_lkly_social_connection,ext_earthquake_lkly_leave_town,ext_earthquake_lkly_supplies,ext_earthquake_lkly_follow_officials,ext_earthquake_lkly_comm_supports,ext_earthquake_wfh,ext_earthquake_car_travel,ext_earthquake_walk_bike_mode,ext_earthquake_transit_use,ext_earthquake_stay_home,ext_earthquake_stay_family_friends,ext_earthquake_check_family_friends,ext_earthquake_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
4168,49,4,0.015086288,0,98110,0,1,0,1,1,0,0,0,0,1,5,2,5,5,1,1,1,1,1,1,2,2,2,2,2,4,4,4,-1.62807844,-0.080735459,0.231080471,0,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,1,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
4169,49,3,0.017976637,0,98338,0,1,0,3,0,0,1,0,0,1,5,3,3,2,3,4,4,4,4,4,2,2,2,2,2,3,2,4,-1.924488376,-0.494999757,0.563358141,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
4174,49,2,0.155834223,0,98115,1,0,0,1,1,0,0,0,0,1,2,1,4,4,1,1,1,4,5,3,2,1,3,3,3,4,2,2,0.502603501,0.919909794,-0.111603369,0,0,0,1,4,0,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,0,0,1,4
4176,49,2,0.003637365,0,98391,0,1,0,4,0,0,0,1,0,2,4,4,4,3,4,4,3,4,4,4,3,3,2,2,2,2,3,3,-0.398772858,0.495627519,-0.044899893,0,0,1,0,3,0,1,1,0,0,2,0,4,1,0,1,0,0,3,1,0,1,0,0,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
4181,49,2,0.178538319,0,98580,0,1,0,1,1,0,0,0,0,1,4,2,5,4,1,1,1,4,4,4,2,3,2,2,3,3,2,4,0.563274703,-1.031709481,0.119861122,1,1,0,0,2,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,1,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1
4192,49,2,0.616886919,0,98466,0,1,0,3,0,0,1,0,0,2,5,5,4,4,2,4,4,5,5,5,2,2,2,2,2,2,2,2,0.19530811,-0.489577936,0.921240133,1,0,1,0,3,0,0,1,0,0,2,0,4,0,0,3,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4
4196,49,1,0.088008518,0,98122,1,0,0,4,0,0,0,1,0,2,4,4,4,4,5,3,4,3,4,3,2,3,2,2,3,2,3,2,0.679497199,0.408795454,-0.03324115,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,1,2,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
4198,49,4,0.011488483,0,98012,0,1,0,4,0,0,0,1,0,3,4,5,1,5,3,4,1,4,4,4,2,3,1,1,3,3,2,1,-0.34246095,0.023826265,0.038349935,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,3
4210,49,4,0.015088901,0,98056,0,1,0,3,0,0,1,0,0,3,5,4,2,3,4,3,3,4,5,5,2,1,2,2,2,4,3,3,-1.198027356,-0.072541821,0.307012348,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,1,1,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
4213,49,3,0.092866207,0,98008,1,0,0,3,0,0,1,0,0,2,5,3,3,5,3,3,2,4,4,3,2,1,2,3,3,1,2,3,-0.51472739,0.493506198,-0.937154519,1,0,0,1,4,1,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,1,4
4219,49,1,0.029159898,0,98125,1,0,0,1,1,0,0,0,0,1,2,0,4,4,3,5,5,5,5,5,2,3,2,3,2,2,2,2,0.317117637,0.619703539,-0.231373003,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,3,1,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,0,0,1,4
4220,49,4,0.059831988,0,98444,0,1,0,1,1,0,0,0,0,1,5,4,4,4,2,2,1,4,5,3,2,2,2,2,2,1,1,4,-0.157449452,-1.606590713,-0.198562392,0,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,0,1,0,2,0,0,0,1,4
4223,49,2,0.018976628,0,98070,0,1,0,2,0,1,0,0,0,3,2,4,4,4,4,4,4,4,4,4,3,1,1,1,3,2,2,2,0.138054157,0.844769949,0.088794737,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,1,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,0,1
4230,49,2,0.016999786,0,98370,0,1,0,1,1,0,0,0,0,2,4,2,5,4,1,1,1,3,5,4,2,1,3,2,2,3,3,2,-0.800015077,1.130914368,0.384392188,0,0,1,0,3,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,0,1,0,0,2
4246,49,2,0.110321789,0,98058,0,1,0,1,1,0,0,0,0,2,3,4,5,5,3,3,3,4,5,3,2,1,2,2,2,3,3,4,-2.10015103,-0.860381038,-1.932001851,1,0,0,0,1,1,1,0,0,1,2,0,3,0,0,0,0,0,3,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
4247,49,2,0.066670012,0,98422,0,1,0,1,1,0,0,0,0,1,5,3,3,4,3,3,3,4,4,3,2,1,1,2,2,3,2,3,-1.337241533,0.049551012,-0.535817559,0,1,0,0,2,1,1,1,0,0,1,1,1,0,1,2,0,0,3,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,0,2
