event,activity,term,variable,value,se,p,n
flooding,Transit,coef,flooding_imp_4,0.05192083645408014,0.12830448503481956,0.6857208961152829,1041
flooding,Transit,coef,flooding_imp_5,-0.03060979847412698,0.15461319946865723,0.8430633570383457,1041
flooding,Transit,coef,hhveh0,0.14119346516635406,0.11509105476566048,0.219898557482892,1041
flooding,Transit,coef,in50100,-0.04266919510473211,0.08017316028193625,0.594578506498879,1041
flooding,Transit,coef,rural,-0.019614399522825916,0.1437772067565576,0.8914875430024856,1041
flooding,Transit,coef,sa_home,0.07825712456069321,0.07801372545362725,0.3158029889595678,1041
flooding,Transit,coef,work_out,0.2406708901306546,0.15685020789903018,0.12493138556998173,1041
flooding,Transit,threshold,threshold_1,-0.6120335503675334,,,1041
flooding,Transit,threshold,threshold_2,1.285859466622656,,,1041
flooding,Usual,coef,CR,0.09295528906805631,0.04016268963228299,0.020642024871354494,1041
flooding,Usual,coef,EmpDens_medium,-0.03962895155245862,0.0706535634280106,0.5748718100008179,1041
flooding,Usual,coef,NetworkDensity_medium,-0.1196234372840101,0.06832044268165278,0.07996017590261997,1041
flooding,Usual,coef,PR,0.1322980526047207,0.041064284139422945,0.001274189690939314,1041
flooding,Usual,coef,age_65p,-0.2080348032808504,0.08563530924839366,0.015127547612401773,1041
flooding,Usual,coef,child,0.11709340995538303,0.09233465138658625,0.20474739793274943,1041
flooding,Usual,coef,flooding_imp_2,-0.47183996442904824,0.08814469331705849,8.650013872467542e-08,1041
flooding,Usual,coef,flooding_imp_3,-0.5499366872483882,0.09242081069912828,2.675605588545753e-09,1041
flooding,Usual,coef,flooding_imp_4,-0.6833617984609388,0.11923695031758492,9.976704588201048e-09,1041
flooding,Usual,coef,flooding_imp_5,-0.6493950877620206,0.14474758614295116,7.243782484417529e-06,1041
flooding,Usual,coef,hhsize1,0.09204083359222519,0.10542813376671066,0.3826523613943206,1041
flooding,Usual,coef,hhsize2,0.043509527621478056,0.09144801569409564,0.634228075631863,1041
flooding,Usual,coef,sa_home,0.05442146374253334,0.06761811897097973,0.4209146031057609,1041
flooding,Usual,coef,tcom_no,-0.2417742327095215,0.07943654401598087,0.0023375431637251364,1041
flooding,Usual,threshold,threshold_1,-1.7191496898597485,,,1041
flooding,Usual,threshold,threshold_2,-1.020612154422908,,,1041
flooding,Usual,threshold,threshold_3,-0.3515468848241805,,,1041
flooding,Usual,threshold,threshold_4,0.595748248330144,,,1041
flooding,WFH,coef,CR,0.1411119246862802,0.060385461552614865,0.019446848111241564,558
flooding,WFH,coef,NetworkDensity_high,0.19212928122659712,0.10283186828388625,0.061708750075117606,558
flooding,WFH,coef,black,-0.12348657952484637,0.20247514746997985,0.5419379104015721,558
flooding,WFH,coef,dis_yes,0.14605174335634588,0.1622589319387259,0.3680589072225371,558
flooding,WFH,coef,flooding_imp_2,0.17649438816488666,0.13947322478250002,0.2057152093589204,558
flooding,WFH,coef,flooding_imp_3,0.22736776720127053,0.14262446932878733,0.11089778029742856,558
flooding,WFH,coef,flooding_imp_4,0.3362222129132753,0.17186712644188054,0.05043081511582863,558
flooding,WFH,coef,flooding_imp_5,0.6255467023019913,0.21530131022320337,0.0036672810003156994,558
flooding,WFH,coef,in50100,0.020317564390201093,0.10512063724944129,0.8467408238578183,558
flooding,WFH,coef,white,-0.04069302814885336,0.17949358309579266,0.8206490863875632,558
flooding,WFH,threshold,threshold_1,-1.0966054335904223,,,558
flooding,WFH,threshold,threshold_2,0.8134513707016489,,,558
heat,Car,coef,PR,0.06534990520514893,0.02858788404018435,0.02225834700412733,2564
heat,Car,coef,PopDens_high,0.11713081511591572,0.048743140448273305,0.016260230818618205,2564
heat,Car,coef,SE,0.0651944097079023,0.028754337192344964,0.023372540291117978,2564
heat,Car,coef,age_5165,-0.09192904797697261,0.05419372193272361,0.08982825110688766,2564
heat,Car,coef,black,0.30191054655123695,0.10538054078698655,0.004170680142566479,2564
heat,Car,coef,bs_grad,0.12245840425880566,0.0713516529309252,0.08611339826552916,2564
heat,Car,coef,child,0.1167018874391354,0.05781587626197732,0.04353824025707486,2564
heat,Car,coef,edu_bs,-0.1482468131887115,0.08017510205631587,0.06445232074008574,2564
heat,Car,coef,heat_imp_2,0.06239924328225619,0.07205632760965516,0.3865018549836088,2564
heat,Car,coef,heat_imp_3,0.15350494210065657,0.07202122392766347,0.03305745389813706,2564
heat,Car,coef,heat_imp_4,0.16657998495967496,0.08650057993546023,0.05413344101425866,2564
heat,Car,coef,heat_imp_5,0.16613048198232666,0.10122551802121284,0.10075762405010232,2564
heat,Car,coef,hhsize1,0.10371631786831215,0.05392126490132326,0.05442016060609933,2564
heat,Car,coef,hispanic_c,0.1905894227028082,0.08680369393499265,0.028117918760572475,2564
heat,Car,coef,tcom_no,0.12005341841311054,0.054598957899840816,0.0278905442739428,2564
heat,Car,coef,white,0.17667594758250293,0.0915889587200418,0.053729715241530945,2564
heat,Car,coef,work_out,0.22102619893837874,0.11535097145461537,0.05534993840448435,2564
heat,Car,threshold,threshold_1,-0.4771382697819104,,,2564
heat,Car,threshold,threshold_2,1.4020983954212285,,,2564
heat,Delivery,coef,CR,0.07752683907863656,0.028878724690895464,0.0072624067987717,2565
heat,Delivery,coef,EmpDens_high,0.1555143047358075,0.05766524204623132,0.006999953461464214,2565
heat,Delivery,coef,EmpDens_medium,0.12957025548226664,0.05668833417428414,0.022274159555376077,2565
heat,Delivery,coef,NetworkDensity_medium,0.11892146330925675,0.04912429848777355,0.015485214360688261,2565
heat,Delivery,coef,PR,0.07072919160260352,0.02889555397177855,0.014374998797991654,2565
heat,Delivery,coef,SE,0.05468658027762633,0.0286879106780388,0.05661664538564575,2565
heat,Delivery,coef,age_65p,-0.2546375608507514,0.05462334180242505,3.136101027707591e-06,2565
heat,Delivery,coef,black,0.27363383677203507,0.07045041198740538,0.00010272528208556642,2565
heat,Delivery,coef,child,0.13385070512704508,0.05691753693703478,0.018689840694942415,2565
