event,activity,term,variable,value,se,p,n
powerout,Home,coef,age_65p,0.14131198935855532,0.05145861612978497,0.006030307818425804,2300
powerout,Home,coef,dis_yes,0.19109918875975873,0.06233587192432568,0.0021720645426080406,2300
powerout,Home,coef,in50100,-0.10239094276769516,0.051415374338184425,0.04643187375863624,2300
powerout,Home,coef,powerout_imp_2,0.15382581017147842,0.06519370587090707,0.018298626782886723,2300
powerout,Home,coef,powerout_imp_3,0.17337543256704827,0.06673937276161508,0.009382357347068862,2300
powerout,Home,coef,powerout_imp_4,0.0791112625199085,0.08568930594060764,0.35588538441498074,2300
powerout,Home,coef,powerout_imp_5,0.213288668362796,0.1076558524375569,0.047567918850125436,2300
powerout,Home,threshold,threshold_1,-0.985462687386547,,,2300
powerout,Home,threshold,threshold_2,0.5448045450965183,,,2300
powerout,Pick up,coef,Diversity_medium,-0.03418123871913002,0.05064750185730364,0.49974883840553463,2300
powerout,Pick up,coef,NatWalkInd_low,-0.0955004547590936,0.06503260243666377,0.14196813034582914,2300
powerout,Pick up,coef,NetworkDensity_high,0.0021389656759381185,0.05948044795306423,0.9713135999300591,2300
powerout,Pick up,coef,NetworkDensity_medium,-0.13457456074298324,0.057138044220517804,0.01851008893865163,2300
